School_x,School_y,Results
Kansas,Penn,1
Seton Hall,North Carolina State,1
Clemson,New Mexico State,1
Auburn,College of Charleston,1
Texas Christian,Syracuse,2
Michigan State,Bucknell,1
Rhode Island,Oklahoma,1
Duke,Iona,1
Kansas,Seton Hall,1
Clemson,Auburn,1
Syracuse,Michigan State,1
Rhode Island,Duke,2
Kansas,Clemson,1
Syracuse,Duke,2
Kansas,Duke,1
Virgina,UMBC,2
Creighton,Kansas State,2
Kentucky,Davidson,1
Arizona,Buffalo,2
Miami,Loyola(IL),2
Tennessee,Wright State,1
Nevada,Texas,1
Cincinnati,Gerogia State,1
UMBC,Kansas State,2
Kentucky,Buffalo,1
Loyola(IL),Tennessee,1
Nevada,Cincinnati,1
Kansas State,Kentucky,1
Loyola(IL),Nevada,1
Kansas State,Loyola(IL),2
Xavier,Texas Southern,1
Missouri,Florida State,2
Ohio State,South Dakota State,1
Gonzaga,North Carolina-Greensboro,1
Houston,San Diego State,1
Michigan,Montana,1
Texas A&M,Providence,1
UNC,Lipscomb,1
Xavier,Florida State,2
Ohio State,Gonzaga,2
Houston,Michigan,2
Texas A&M,UNC,1
Florida State,Gonzaga,1
Michigan,Texas A&M,1
Florida State,Michigan,2
Villanova,Radford,1
Virginia Tech,Alabama,2
West Virginia,Murray State,1
Wichita State,Marshall,2
Florida,St. Bonaventure,1
Texas Tech,Stephen F. Austin,1
Arkansas,Butler,2
Purdue,Cal State Fullerton,1
Villanova,Alabama,1
West Virginia,Marshall,1
Florida,Texas Tech,2
Butler,Purdue,2
Villanova,West Virginia,1
Texas Tech,Purdue,1
Villanova,Texas Tech,1
Villanova,Kansas,1
Loyola(IL),Michigan,2
Villanova,Michigan,1
